epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
60,732.848,0.69334,0.50316,0.01074,0.93897,0.88085,0.95478,0.75794,0.74695,0.46293,0.01775,0.0008318,0.0008318,0.0008318
61,745.737,0.72383,0.54839,0.01088,0.92901,0.86809,0.94593,0.75045,0.76386,0.49265,0.01803,0.000812,0.000812,0.000812
62,769.11,0.69814,0.5091,0.01023,0.95547,0.91296,0.9597,0.77215,0.7324,0.43692,0.01696,0.0007922,0.0007922,0.0007922
63,793.526,0.66271,0.49128,0.00962,0.93133,0.87234,0.94049,0.75213,0.76399,0.4878,0.01856,0.0007724,0.0007724,0.0007724
64,817.661,0.69614,0.49748,0.0103,0.95094,0.87234,0.95289,0.77205,0.74615,0.46569,0.0182,0.0007526,0.0007526,0.0007526
65,841.972,0.6863,0.47827,0.01037,0.90859,0.91064,0.95985,0.78362,0.72693,0.42378,0.01705,0.0007328,0.0007328,0.0007328
66,866.107,0.68313,0.49905,0.01015,0.9426,0.90213,0.9589,0.7758,0.71946,0.41941,0.01707,0.000713,0.000713,0.000713
67,884.658,0.66363,0.46717,0.01016,0.92574,0.90175,0.96076,0.78101,0.72463,0.41052,0.0171,0.0006932,0.0006932,0.0006932
68,904.402,0.6704,0.46375,0.01008,0.93131,0.89787,0.95298,0.76859,0.75881,0.42448,0.01807,0.0006734,0.0006734,0.0006734
69,928.798,0.66657,0.48147,0.00977,0.92307,0.90213,0.96044,0.77649,0.71672,0.41445,0.01657,0.0006536,0.0006536,0.0006536
70,952.675,0.66731,0.46577,0.00999,0.92781,0.9298,0.96665,0.78877,0.70194,0.38715,0.01671,0.0006338,0.0006338,0.0006338
71,976.689,0.65704,0.48161,0.01003,0.94892,0.90638,0.96305,0.7867,0.70466,0.41422,0.01649,0.000614,0.000614,0.000614
72,1000.92,0.646,0.44496,0.00963,0.93289,0.9234,0.95786,0.77396,0.74542,0.39427,0.01845,0.0005942,0.0005942,0.0005942
73,1024.75,0.62367,0.42512,0.00929,0.91251,0.92766,0.95958,0.78609,0.73554,0.37617,0.01785,0.0005744,0.0005744,0.0005744
74,1048.8,0.63727,0.44133,0.00943,0.94319,0.90213,0.95928,0.7894,0.6829,0.40037,0.01553,0.0005546,0.0005546,0.0005546
75,1066.75,0.6205,0.46242,0.00891,0.93172,0.92903,0.9665,0.78388,0.69191,0.39243,0.01594,0.0005348,0.0005348,0.0005348
76,1093.27,0.6144,0.42667,0.00888,0.95485,0.90001,0.96033,0.78139,0.69641,0.40569,0.01587,0.000515,0.000515,0.000515
77,1105.74,0.65094,0.47197,0.00926,0.95003,0.89787,0.95928,0.78128,0.71089,0.41236,0.01617,0.0004952,0.0004952,0.0004952
78,1117.45,0.63105,0.4473,0.00932,0.95035,0.88085,0.96401,0.78419,0.69856,0.41985,0.01603,0.0004754,0.0004754,0.0004754
79,1129.15,0.59596,0.43329,0.00861,0.94563,0.89787,0.96408,0.797,0.67747,0.38635,0.01551,0.0004556,0.0004556,0.0004556
80,1140.99,0.60487,0.43313,0.00886,0.95951,0.91489,0.96394,0.80076,0.67596,0.37075,0.01519,0.0004358,0.0004358,0.0004358
81,1152.69,0.59243,0.41772,0.00866,0.95547,0.91299,0.96092,0.78696,0.70685,0.38614,0.01614,0.000416,0.000416,0.000416
82,1164.35,0.60465,0.4089,0.00865,0.94237,0.90462,0.9569,0.78418,0.71077,0.44094,0.01638,0.0003962,0.0003962,0.0003962
83,1175.91,0.61754,0.42848,0.00899,0.94199,0.91915,0.95928,0.77617,0.71256,0.44568,0.01668,0.0003764,0.0003764,0.0003764
84,1187.48,0.60387,0.42094,0.00858,0.96372,0.90441,0.96229,0.78554,0.70452,0.41005,0.01636,0.0003566,0.0003566,0.0003566
85,1199.07,0.60726,0.42498,0.00882,0.94225,0.90257,0.96517,0.79231,0.67491,0.41299,0.01545,0.0003368,0.0003368,0.0003368
86,1210.67,0.59402,0.42187,0.00875,0.96831,0.91014,0.96628,0.79879,0.68943,0.40674,0.01616,0.000317,0.000317,0.000317
87,1222.18,0.62734,0.44683,0.00903,0.94607,0.8958,0.96087,0.79229,0.68015,0.4343,0.01556,0.0002972,0.0002972,0.0002972
88,1233.75,0.56941,0.38837,0.0084,0.95555,0.88511,0.96385,0.79919,0.67407,0.42059,0.01521,0.0002774,0.0002774,0.0002774
89,1245.37,0.58821,0.39754,0.00828,0.9516,0.91064,0.96519,0.80088,0.67212,0.40601,0.01539,0.0002576,0.0002576,0.0002576
90,1256.93,0.59638,0.42679,0.00834,0.97732,0.91676,0.96596,0.79498,0.6778,0.40189,0.01512,0.0002378,0.0002378,0.0002378
91,1305.34,0.55674,0.40071,0.01317,0.93947,0.91064,0.95811,0.76957,0.70239,0.45583,0.01617,0.000218,0.000218,0.000218
92,1316.68,0.54456,0.36821,0.01278,0.92886,0.94447,0.96744,0.79226,0.69285,0.38791,0.01584,0.0001982,0.0001982,0.0001982
93,1328.1,0.53506,0.34428,0.01242,0.97738,0.91915,0.96787,0.79361,0.68715,0.37423,0.01585,0.0001784,0.0001784,0.0001784
94,1339.72,0.5385,0.34976,0.01262,0.96235,0.91489,0.96673,0.79375,0.68241,0.37952,0.01546,0.0001586,0.0001586,0.0001586
95,1352.16,0.51224,0.34553,0.01134,0.9323,0.93767,0.96938,0.79831,0.67518,0.35119,0.01508,0.0001388,0.0001388,0.0001388
96,1363.88,0.51084,0.3464,0.01175,0.96826,0.90879,0.96699,0.80258,0.66713,0.37401,0.01501,0.000119,0.000119,0.000119
97,1375.72,0.50875,0.33164,0.01129,0.95022,0.93191,0.96686,0.80385,0.66276,0.37187,0.01473,9.92e-05,9.92e-05,9.92e-05
98,1387.33,0.48058,0.2846,0.01071,0.94491,0.91915,0.96566,0.80442,0.6646,0.37524,0.01484,7.94e-05,7.94e-05,7.94e-05
99,1398.98,0.48822,0.31057,0.01096,0.94442,0.93999,0.96651,0.80537,0.65998,0.36475,0.01441,5.96e-05,5.96e-05,5.96e-05
100,1410.84,0.49643,0.31759,0.0114,0.95495,0.91064,0.9649,0.81068,0.65256,0.37815,0.0144,3.98e-05,3.98e-05,3.98e-05
