epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
81,125.054,0.64657,0.87791,0.01183,0.93576,0.84211,0.92188,0.75678,0.78504,0.53678,0.02029,0.000416,0.000416,0.000416
82,126.522,0.5584,0.72152,0.00935,0.84313,0.84211,0.90874,0.75586,0.75167,0.55557,0.01897,0.0003962,0.0003962,0.0003962
83,127.953,0.45345,0.6039,0.00759,1,0.89372,0.92403,0.77343,0.75307,0.55815,0.01903,0.0003764,0.0003764,0.0003764
84,129.427,0.51136,0.64352,0.00878,1,0.86569,0.92403,0.75803,0.81991,0.54492,0.02132,0.0003566,0.0003566,0.0003566
85,130.841,0.51244,0.68902,0.00841,0.99787,0.89474,0.92403,0.76361,0.80663,0.53862,0.02112,0.0003368,0.0003368,0.0003368
86,132.256,0.55373,0.67472,0.01053,0.94331,0.87643,0.92125,0.7703,0.77183,0.54404,0.02003,0.000317,0.000317,0.000317
87,133.665,0.55485,0.84415,0.00921,0.88859,0.89474,0.91616,0.78072,0.73893,0.5659,0.0189,0.0002972,0.0002972,0.0002972
88,135.132,0.47864,0.60253,0.00798,0.86406,0.89474,0.90845,0.77748,0.75033,0.56992,0.01915,0.0002774,0.0002774,0.0002774
89,136.567,0.54678,0.70812,0.00907,0.84663,0.87228,0.90577,0.77875,0.74185,0.58314,0.01889,0.0002576,0.0002576,0.0002576
90,138.033,0.44056,0.56023,0.00769,0.98174,0.84211,0.91621,0.78631,0.6622,0.62375,0.01564,0.0002378,0.0002378,0.0002378
91,176.071,0.53625,1.26492,0.01777,0.93188,0.84211,0.9051,0.79281,0.64327,0.632,0.01553,0.000218,0.000218,0.000218
92,178.021,0.49004,1.29035,0.01691,0.87153,0.78947,0.86607,0.75233,0.68453,0.65089,0.01707,0.0001982,0.0001982,0.0001982
93,179.601,0.53874,1.17088,0.01872,0.93741,0.78829,0.89511,0.78132,0.71459,0.61985,0.01824,0.0001784,0.0001784,0.0001784
94,181.165,0.44898,1.09799,0.01377,0.94071,0.83543,0.9094,0.77624,0.72767,0.57135,0.01799,0.0001586,0.0001586,0.0001586
95,182.749,0.43005,1.27456,0.0124,0.94363,0.88156,0.92083,0.78863,0.65099,0.66163,0.01552,0.0001388,0.0001388,0.0001388
96,184.266,0.39197,1.06889,0.01064,0.94229,0.89474,0.92424,0.79434,0.71549,0.53549,0.01794,0.000119,0.000119,0.000119
97,185.68,0.60227,1.10068,0.01957,0.9386,0.89474,0.92639,0.79677,0.71409,0.53543,0.01806,9.92e-05,9.92e-05,9.92e-05
98,187.226,0.49192,0.95322,0.01453,0.96558,0.89474,0.93413,0.80014,0.74161,0.48049,0.01892,7.94e-05,7.94e-05,7.94e-05
99,188.678,0.45509,1.05215,0.01455,0.99128,0.89474,0.9325,0.79478,0.74865,0.46502,0.01904,5.96e-05,5.96e-05,5.96e-05
100,190.164,0.48115,1.0413,0.01559,1,0.88582,0.931,0.7905,0.73523,0.48462,0.01869,3.98e-05,3.98e-05,3.98e-05
